[2025-04-03T17:56:33.542+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [queued]>
[2025-04-03T17:56:33.553+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [queued]>
[2025-04-03T17:56:33.554+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 4
[2025-04-03T17:56:33.574+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): generate_star_schema> on 2025-04-03 17:56:15.643112+00:00
[2025-04-03T17:56:33.580+0000] {standard_task_runner.py:60} INFO - Started process 1536 to run task
[2025-04-03T17:56:33.584+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'Web_Log_Processing', 'generate_star_schema', 'manual__2025-04-03T17:56:15.643112+00:00', '--job-id', '16', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmpnjgrh2kd']
[2025-04-03T17:56:33.586+0000] {standard_task_runner.py:88} INFO - Job 16: Subtask generate_star_schema
[2025-04-03T17:56:33.665+0000] {task_command.py:423} INFO - Running <TaskInstance: Web_Log_Processing.generate_star_schema manual__2025-04-03T17:56:15.643112+00:00 [running]> on host 9b170102d235
[2025-04-03T17:56:33.946+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Web_Log_Processing' AIRFLOW_CTX_TASK_ID='generate_star_schema' AIRFLOW_CTX_EXECUTION_DATE='2025-04-03T17:56:15.643112+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-03T17:56:15.643112+00:00'
[2025-04-03T17:56:33.969+0000] {logging_mixin.py:188} INFO - Reading combined CSV from: /opt/***/data/StagingArea/CombinedLogs.csv
[2025-04-03T17:56:34.950+0000] {logging_mixin.py:188} INFO - Loaded 154463 rows from the combined CSV.
[2025-04-03T17:56:34.951+0000] {logging_mixin.py:188} INFO - Adding derived columns...
[2025-04-03T17:56:35.296+0000] {logging_mixin.py:188} INFO - Applying GeoIP data...
[2025-04-03T17:56:35.528+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 205.178.184.153: 401
[2025-04-03T17:56:35.629+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 91.212.127.100: 401
[2025-04-03T17:56:35.710+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 204.244.11.121: 401
[2025-04-03T17:56:35.781+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 86.156.68.62: 401
[2025-04-03T17:56:36.059+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 206.51.228.161: 401
[2025-04-03T17:56:36.132+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 131.111.37.76: 401
[2025-04-03T17:56:36.305+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 86.153.189.0: 401
[2025-04-03T17:56:36.468+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 131.111.30.16: 401
[2025-04-03T17:56:36.536+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 131.111.37.93: 401
[2025-04-03T17:56:36.724+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 134.36.36.110: 401
[2025-04-03T17:56:36.943+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 213.120.115.56: 401
[2025-04-03T17:56:37.121+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 134.36.36.113: 401
[2025-04-03T17:56:37.287+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 90.240.113.65: 401
[2025-04-03T17:56:37.353+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 134.36.36.106: 401
[2025-04-03T17:56:37.526+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 134.36.36.98: 401
[2025-04-03T17:56:37.698+0000] {logging_mixin.py:188} INFO - GeoIP API failed for IP 134.36.36.109: 401
